Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F3: 130N, Sample, A, (-)BiotinPD","Abundance: F3: 129C, Sample, A, (-)Hpg","Abundance: F3: 126, Sample, A, 0_0Hr","Abundance: F3: 127N, Sample, A, 0_5Hr","Abundance: F3: 127C, Sample, A, 1_0Hr","Abundance: F3: 128N, Sample, A, 1_5Hr","Abundance: F3: 128C, Sample, A, 2_0Hr","Abundance: F3: 129N, Sample, A, 3_0Hr","Abundance: F3: 134N, Sample, B, (-)BiotinPD","Abundance: F3: 133C, Sample, B, (-)Hpg","Abundance: F3: 130C, Sample, B, 0_0Hr","Abundance: F3: 131N, Sample, B, 0_5Hr","Abundance: F3: 131C, Sample, B, 1_0Hr","Abundance: F3: 132N, Sample, B, 1_5Hr","Abundance: F3: 132C, Sample, B, 2_0Hr","Abundance: F3: 133N, Sample, B, 3_0Hr","Abundance: F4: 133C, Sample, C, (-)BiotinPD","Abundance: F4: 126, Sample, C, (-)Hpg","Abundance: F4: 127C, Sample, C, 0_0Hr","Abundance: F4: 128C, Sample, C, 0_5Hr","Abundance: F4: 129C, Sample, C, 1_0Hr","Abundance: F4: 130C, Sample, C, 1_5Hr","Abundance: F4: 131C, Sample, C, 2_0Hr","Abundance: F4: 132C, Sample, C, 3_0Hr","Abundance: F4: 134N, Sample, D, (-)BiotinPD","Abundance: F4: 127N, Sample, D, (-)Hpg","Abundance: F4: 128N, Sample, D, 0_0Hr","Abundance: F4: 129N, Sample, D, 0_5Hr","Abundance: F4: 130N, Sample, D, 1_0Hr","Abundance: F4: 131N, Sample, D, 1_5Hr","Abundance: F4: 132N, Sample, D, 2_0Hr","Abundance: F4: 133N, Sample, D, 3_0Hr","Abundance: F9: 126, Sample, E, (-)BiotinPD","Abundance: F9: 130N, Sample, E, (-)Hpg","Abundance: F9: 129C, Sample, E, 0_0Hr","Abundance: F9: 129N, Sample, E, 0_5Hr","Abundance: F9: 128C, Sample, E, 1_0Hr","Abundance: F9: 128N, Sample, E, 1_5Hr","Abundance: F9: 127C, Sample, E, 2_0Hr","Abundance: F9: 127N, Sample, E, 3_0Hr","Abundance: F9: 134N, Sample, F, (-)BiotinPD","Abundance: F9: 130C, Sample, F, (-)Hpg","Abundance: F9: 131N, Sample, F, 0_0Hr","Abundance: F9: 131C, Sample, F, 0_5Hr","Abundance: F9: 132N, Sample, F, 1_0Hr","Abundance: F9: 132C, Sample, F, 1_5Hr","Abundance: F9: 133N, Sample, F, 2_0Hr","Abundance: F9: 133C, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
P01266,Thyroglobulin OS,TG,541.757,37,76,570,76,32568.2,349.6,1847.5,3041.9,2735.5,2486,2572.6,1805.3,24601.2,288.5,1626.6,823.2,1454.2,1918.1,1474.5,729.6,13234.3,263.9,3370.3,3130.3,4066.7,2362.1,3438.6,3103.3,61535.2,296.2,4820.7,3846.3,4577.5,6505,4475.1,2253.5,61100.6,1883.4,3803.6,3658.3,4724.7,3831,2490.8,3920.2,25746.7,1935.5,3039.6,3841.4,2464.6,2877.8,2043,3434.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P06761,78 kDa glucose-regulated protein OS,HSPA5,319.388,55,33,601,30,49439.8,535.8,2235.3,3473.8,3150.2,2698.6,2773.7,2101.7,36743.3,475.6,1678.6,1032.5,1512.2,2083.1,1626.8,715.6,13882.3,423.6,3094.8,2972.4,3687.5,2202.8,3215.7,2961.4,49717.5,389.7,3930.4,2614,3436.6,5015.3,3777.3,1789.8,75995.1,1990.3,3801.7,3759.6,5140.3,4282.2,3710.7,3706.5,28136.6,2239.5,3411.5,3918.6,2852.6,3365.2,2293.8,3434.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q66HD0,Endoplasmin OS,HSP90B1,309.074,50,38,532,37,28439.1,306.1,1079.8,1715.3,1496.4,1316.6,1304.7,964.3,26245.8,257.9,939.5,478.4,902.3,1087.5,952.8,380.9,17416.9,316.9,2944.3,2387.2,3565.1,2401.6,3011.7,2764.7,47285.5,225.3,2726.8,2413.8,2773.2,4191.9,2987.5,1092,78503.7,1679.3,3366.8,3359.4,3628.9,2904.8,2027.2,2645.6,30834.9,1654.5,2474.1,3214.8,1814.6,2378.2,1896.4,3060.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F1LMV6,Protein Dsp OS,DSP,239.567,22,61,160,61,1211,696.1,912.4,4594.6,708.1,516.8,489.7,3382.3,1333.8,568.1,681.2,532.4,782.4,1043.8,624.1,813.6,1121.2,901,2770,2313.2,674.7,304.9,745.9,865.7,4387.1,837.5,953.1,508.3,702.5,615.1,991.1,1948.3,3437.6,715.3,1308.4,853.4,1230.1,811.1,2142.5,1468.6,3521.7,1426.4,1980.8,5789.6,724.9,902.7,756.9,1856.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V6T7,Protein disulfide isomerase associated 4 OS,PDIA4,217.032,49,27,170,27,10416.4,98.2,558.5,904.5,755.7,686.6,644.4,455.2,10096.8,99.4,553.7,314.4,469.9,552.8,516.1,241.6,8548.1,175.6,2192,1766.2,2777.5,1686.5,2208.1,2083.8,23943.1,132.9,1828.5,1643,2107.7,3051.7,2168.7,940.2,31908.1,833.6,1625.5,1782.3,2051.8,1574.5,963.6,1369.5,10351.4,859.4,1316.8,1549.8,967.5,1286.6,973.1,1610.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F1LN18,Hypoxia up-regulated protein 1 OS,HYOU1,164.678,35,26,162,2,3848.8,89.3,160.5,229.7,220.3,196.7,219.2,157.3,3296.9,69.9,200.1,108.6,130.3,184.7,132.8,69.9,3463.3,101.9,645.9,532.5,707.2,425.2,567,568.6,9589.9,84.2,612.9,496.2,581.1,823.7,623.8,261.3,17570.8,432.5,827.2,860.9,1003.4,792.2,414.6,669.8,7429.2,490.3,686,696,512.7,647.4,468,933.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P11598,Protein disulfide-isomerase A3 OS,PDIA3,150.318,44,20,215,20,17038.7,212.2,941.2,1425.4,1337.9,1157.2,1073.8,730.9,13524.4,176.6,861.6,366.2,703.2,925.5,699.7,354.3,5144.8,208.4,1408.6,1168.1,1613.9,1026.9,1369.9,1264.6,16941.1,173.9,1455.8,1210.1,1512.1,1958.1,1476.3,665.1,30319.2,3802.2,3192,2802.2,3429.9,2856.5,2799.5,2508.7,9391.2,2159.5,2313.6,2154.6,2459.7,2099.4,2486.2,3121.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q63081,Protein disulfide-isomerase A6 OS,PDIA6,132.826,38,13,182,13,8442,45.7,312.8,498.8,500.3,375.3,375.8,269.8,7325.1,49.3,274.2,108.1,237.8,325.9,290.7,100.8,4827.1,114.9,991.7,903.8,1158.4,759.1,989.9,929.6,16406.1,86.2,976.3,901,1049.4,1580.1,1170.2,378.2,23118.7,427,911,866.9,1108.2,866.7,495.1,798.2,6831.7,410.3,632.9,644.7,510.5,659.7,494,671.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P60711,"Actin, cytoplasmic 1 OS",ACTB,124.638,41,12,120,6,10915.2,91.4,203.5,507.9,228.9,149.5,154,513.2,10475,72.5,60.9,157.5,176.5,158.9,151.9,47.8,6324.1,145.9,230.6,240.3,235,197.8,265,150.3,8889.7,129.5,346.5,253.1,226.8,335.5,275.6,149.7,5977.8,445,429.4,370.4,429.2,333.2,442.7,384.7,3628.1,422.5,424.9,560.9,917.6,329.6,305.3,1091.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
M0R979,Protein Thbs1 (Fragment) OS,THBS1,123.053,41,22,87,22,10734.8,49.5,75.5,116.9,103.3,59.7,102.4,41.4,12242.6,43.9,48.6,39.6,82.5,90.7,104.3,33.3,8402.5,74.9,115.8,138.1,115.9,157,187.6,68.8,9356.7,50.4,188,137.4,139,223.9,149.4,48,4606.6,239.4,226.7,190.7,255,201.6,181.4,216.2,2922,208.2,218.5,452,251.1,205.2,174,341.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
