Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F2: 130N, Sample, A, (-)BiotinPD","Abundance: F2: 129C, Sample, A, (-)Hpg","Abundance: F2: 126, Sample, A, 0_0Hr","Abundance: F2: 127N, Sample, A, 0_5Hr","Abundance: F2: 127C, Sample, A, 1_0Hr","Abundance: F2: 128N, Sample, A, 1_5Hr","Abundance: F2: 128C, Sample, A, 2_0Hr","Abundance: F2: 129N, Sample, A, 3_0Hr","Abundance: F2: 134N, Sample, B, (-)BiotinPD","Abundance: F2: 133C, Sample, B, (-)Hpg","Abundance: F2: 130C, Sample, B, 0_0Hr","Abundance: F2: 131N, Sample, B, 0_5Hr","Abundance: F2: 131C, Sample, B, 1_0Hr","Abundance: F2: 132N, Sample, B, 1_5Hr","Abundance: F2: 132C, Sample, B, 2_0Hr","Abundance: F2: 133N, Sample, B, 3_0Hr","Abundance: F1: 126, Sample, C, (-)BiotinPD","Abundance: F1: 130N, Sample, C, (-)Hpg","Abundance: F1: 129C, Sample, C, 0_0Hr","Abundance: F1: 129N, Sample, C, 0_5Hr","Abundance: F1: 128C, Sample, C, 1_0Hr","Abundance: F1: 128N, Sample, C, 1_5Hr","Abundance: F1: 127C, Sample, C, 2_0Hr","Abundance: F1: 127N, Sample, C, 3_0Hr","Abundance: F1: 130C, Sample, D, (-)BiotinPD","Abundance: F1: 134N, Sample, D, (-)Hpg","Abundance: F1: 133C, Sample, D, 0_0Hr","Abundance: F1: 133N, Sample, D, 0_5Hr","Abundance: F1: 132C, Sample, D, 1_0Hr","Abundance: F1: 132N, Sample, D, 1_5Hr","Abundance: F1: 131C, Sample, D, 2_0Hr","Abundance: F1: 131N, Sample, D, 3_0Hr","Abundance: F8: 126, Sample, E, (-)BiotinPD","Abundance: F8: 133C, Sample, E, (-)Hpg","Abundance: F8: 127C, Sample, E, 0_0Hr","Abundance: F8: 128C, Sample, E, 0_5Hr","Abundance: F8: 129C, Sample, E, 1_0Hr","Abundance: F8: 130C, Sample, E, 1_5Hr","Abundance: F8: 131C, Sample, E, 2_0Hr","Abundance: F8: 132C, Sample, E, 3_0Hr","Abundance: F8: 127N, Sample, F, (-)BiotinPD","Abundance: F8: 134N, Sample, F, (-)Hpg","Abundance: F8: 128N, Sample, F, 0_0Hr","Abundance: F8: 129N, Sample, F, 0_5Hr","Abundance: F8: 130N, Sample, F, 1_0Hr","Abundance: F8: 131N, Sample, F, 1_5Hr","Abundance: F8: 132N, Sample, F, 2_0Hr","Abundance: F8: 133N, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
P01266,Thyroglobulin OS,TG,976.829,43,88,1235,88,38326.2,729.3,2839.5,3507.4,5156.1,3235.6,2107,1211,86634.9,354.4,2551.7,498.3,2398.9,2366.6,2295.3,290.6,96959.1,2455.9,9438.9,12127.5,18066.6,22251.4,7581.1,12300.2,78640.5,1513.7,6373.8,15455.8,17239.7,15368.5,12345.5,7573.8,61325.1,4224,7564.9,5292.3,3121.8,5362.7,3627.9,2999.8,128076.7,1542.6,3301.3,3228.7,4288.3,2462.3,2773.7,2217.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F1LMV6,Protein Dsp OS,DSP,401.578,28,74,212,74,1035.6,3525.6,1768.3,2015.3,1113.9,2863.2,555.3,2752.1,2786.3,1866.4,1025.6,976.9,835.2,933.6,2051.8,914.7,955.1,596.8,220.3,323.8,738.8,122.2,359.7,2894.9,522.2,249.6,314.6,503.2,419.4,333.8,346.1,1059.2,2664.1,17806.3,64273.3,3797.1,2718.3,11118.7,5314.9,1824.8,10256.7,2821.1,4674.5,1912.4,7749.8,1690.7,2473.6,2469.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P06761,78 kDa glucose-regulated protein OS,HSPA5,316.769,56,32,616,29,16112,301.5,1214.4,1137.6,1183.9,812.7,628.8,594.2,37431.6,179.8,1194.2,293.2,683.3,601.4,714.5,172.7,28204.4,554.4,4386.4,3288.4,4111.2,4731.1,1617.1,3459.6,24452.6,349.4,2517.8,4491.3,4372.9,3371.6,2897.7,2023.3,36073.7,3636.4,4905.7,3941.7,2002.2,3445.8,2351.7,2055,68996.8,1062.2,3511.9,1968.1,2837.4,1691.7,2105.6,1644.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q66HD0,Endoplasmin OS,HSP90B1,305.855,49,38,540,37,21376.7,340.9,1718.6,1264.8,1393.9,869.8,675.3,487.2,44080.2,175,1308.9,438,619.8,662.4,790.6,301.7,34481.7,695.4,4187.4,3548.5,5079.7,5170,1492.1,4015.5,25917.8,432.3,2710.4,5360,4366.8,4012.6,3095.7,2062,31723.3,2496.6,3747.9,2466.9,1188.1,2078.7,1499,1233.4,61613.1,850.7,1454.3,960,2111.2,1015.3,1217.1,932,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V6T7,Protein disulfide isomerase associated 4 OS,PDIA4,297.794,54,30,196,30,4076.6,70,425.9,302.3,343.1,165.7,132.1,80.4,7634.2,37.3,278.5,83.4,142.5,138.3,141.9,26.8,10992.6,198.4,1637.3,1455.5,2143.1,2244.6,932.5,1528.9,9369.5,152.5,1112.9,2306.9,2037.1,1744.9,1479.3,826.8,21474.5,2055.4,4394.5,2502.7,1206.8,2100.7,1500.1,1196,48533,686.6,2019.9,1005.5,2015.2,1110.5,1260.9,989,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q6P0K8,Junction plakoglobin OS,JUP,204.454,44,25,81,20,163,616.5,310.5,352.7,193.1,389.4,112.7,414.3,390.4,332.1,160.1,209,194,196.9,315.1,169.7,291.7,191.3,60.7,114.1,240.4,62.3,106.5,495.6,167.3,72.1,99.8,143.5,111.5,73.8,88.1,377.7,2300.4,5660.5,22470.4,2673.6,1294.6,4957,2080.9,769.4,9090.4,1175.1,2398.1,1106.6,2977.7,785,1070.3,1230.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F1LN18,Hypoxia up-regulated protein 1 OS,HYOU1,190.366,38,32,108,32,4687.7,88.8,267.2,262.7,259.1,181.4,130.5,74.9,11816.5,45.3,307.1,32,158.9,146.3,158.2,7,5060.5,60.2,417.8,390.1,526.5,562,154.6,415.4,4270.9,41.1,262.8,543.1,496.4,417.1,315.8,214.7,7589.8,1278,1380.3,634.7,355.9,647.9,435.7,345.8,16211.1,239.9,372.4,299.2,551.9,306.3,383.4,298.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P11598,Protein disulfide-isomerase A3 OS,PDIA3,151.112,45,21,237,21,9181.5,395.5,1059.1,861.9,787.6,574.8,368.7,416.8,23875.5,220.2,996.2,240.5,459.1,449.8,458,133.6,13191.6,230.7,2194.1,1864.7,1966.3,2201.5,624.4,1507.1,10772.4,179.1,1398.5,2431.3,1967.2,1660.6,1364.7,921.5,13626.7,1153.7,2371.2,1202.2,580.3,1035.7,855.3,612,27989.3,406.1,1081.2,599.8,1051.2,605.2,604,466.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q63081,Protein disulfide-isomerase A6 OS,PDIA6,150.967,47,16,118,16,1780.2,29.2,111.8,104,100.9,73.1,50.5,34.7,3778.2,19.8,100.2,38.9,60.5,53.3,53.3,9.8,10872.9,138,1349.2,1113,1578.8,1673,458.3,1286.7,7976.8,74.5,772.6,1653.8,1456.1,1263.3,991,624.5,10570.6,1094.2,1368,1356,722.7,1321.6,1154.2,711.7,19825.2,487.2,1055,678.9,1149.3,611.8,701.1,558.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P34058,Heat shock protein HSP 90-beta OS,HSP90AB1,143.185,37,22,82,12,1241.5,190.3,64.8,88.9,57.8,38,29.1,54.1,3550.2,20.8,63.8,21.3,28.5,50.2,59,29.4,2931.9,82.6,68.7,87.2,130.4,88.7,4.3,241,2276.9,48.9,68,109.3,109,93.4,35.2,100.9,7110.1,3196.7,1026.5,759.1,422.5,674.4,494.8,323.7,16846.8,337,468.3,335.7,808.5,380.8,438.5,383,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
